student_id, name,surname,email,lecture,points, how_many_times_attended
2014-48019,SALIH,SULEYMAN,salihsuleyman@ce1.marmara.edu.tr,CS101,75,1
2014-48019,SALIH,SULEYMAN,salihsuleyman@ce1.marmara.edu.tr,CS102,36,2
2014-48019,SALIH,SULEYMAN,salihsuleyman@ce1.marmara.edu.tr,CS464,42,1
2014-48019,SALIH,SULEYMAN,salihsuleyman@ce1.marmara.edu.tr,CS365,16,1
2015-38083,NISA,SULEYMAN,n.suleyman@ce1.marmara.edu.tr,CS231,16,2
2014-73028,SIBEL,GURCAN,sibelgurcan@ce1.marmara.edu.tr,CS101,47,2
2014-73028,SIBEL,GURCAN,sibelgurcan@ce1.marmara.edu.tr,CS102,77,1
2015-88822,OZGUR,YILMAZ,o.yilmaz@ce1.marmara.edu.tr,CS101,68,2
2014-49663,SALIH,CAN,salihcan@ce1.marmara.edu.tr,CS231,79,1
2014-69401,RABIA,DILER,rabiadiler@ce1.marmara.edu.tr,CS101,54,1
2014-69401,RABIA,DILER,rabiadiler@ce1.marmara.edu.tr,CS102,41,2
2015-93490,HARUN,OZDEMIR,h.ozdemir@ce1.marmara.edu.tr,CS231,45,2
2014-24741,SALIH,KAYA,salihkaya@ce1.marmara.edu.tr,CS101,28,1
2015-56592,BILGE,KAYA,b.kaya@ce1.marmara.edu.tr,CS231,91,2
2014-38476,ISMAIL,SULEYMAN,ismailsuleyman@ce1.marmara.edu.tr,CS231,99,2
2014-02564,UGUR,AYDOGAN,uguraydogan@ce1.marmara.edu.tr,CS231,83,1
2015-69959,HILAL,OZKAN,h.ozkan@ce1.marmara.edu.tr,CS101,16,1
2014-07811,EFE,KOC,efekoc@ce1.marmara.edu.tr,CS101,73,2
2014-07811,EFE,KOC,efekoc@ce1.marmara.edu.tr,CS231,30,1
2014-07811,EFE,KOC,efekoc@ce1.marmara.edu.tr,CS102,81,2
2015-45521,FATMA,PEK,f.pek@ce1.marmara.edu.tr,CS101,55,2
2015-45521,FATMA,PEK,f.pek@ce1.marmara.edu.tr,CS102,51,2
2014-16962,GULSUM,OZER,gulsumozer@ce1.marmara.edu.tr,CS101,41,2
2014-16962,GULSUM,OZER,gulsumozer@ce1.marmara.edu.tr,CS231,46,2
2014-55059,AZRA,GUL,azragul@ce1.marmara.edu.tr,CS101,88,2
2014-55059,AZRA,GUL,azragul@ce1.marmara.edu.tr,CS231,95,2
2014-43296,EMRE,KARA,emrekara@ce1.marmara.edu.tr,CS101,60,2
2014-24059,NISA,AYDIN,nisaaydin@ce1.marmara.edu.tr,CS101,54,2
2014-24059,NISA,AYDIN,nisaaydin@ce1.marmara.edu.tr,CS231,38,1
2014-73863,ALI,ILHAN,aliilhan@ce1.marmara.edu.tr,CS231,78,2
2014-68407,ELIF,SIMSEK,elifsimsek@ce1.marmara.edu.tr,CS231,56,1
2014-68407,ELIF,SIMSEK,elifsimsek@ce1.marmara.edu.tr,CS101,12,1
2014-22403,AHMET,OZER,ahmetozer@ce1.marmara.edu.tr,CS231,18,1
2014-79860,ISMAIL,AKTAS,ismailaktas@ce1.marmara.edu.tr,CS101,43,2
2014-56461,FATMA,OZDEMIR,fatmaozdemir@ce1.marmara.edu.tr,CS101,90,2
2014-55856,TUNA,HIKMET,tunahikmet@ce1.marmara.edu.tr,CS101,91,1
2014-55856,TUNA,HIKMET,tunahikmet@ce1.marmara.edu.tr,CS231,14,2
2014-55856,TUNA,HIKMET,tunahikmet@ce1.marmara.edu.tr,CS102,54,1
2015-02473,BETUL,ESEN,b.esen@ce1.marmara.edu.tr,CS231,99,1
2014-70798,UMUT,YILMAZ,umutyilmaz@ce1.marmara.edu.tr,CS101,35,2
2015-11157,NISA,CAN,n.can@ce1.marmara.edu.tr,CS231,32,2
2015-11157,NISA,CAN,n.can@ce1.marmara.edu.tr,CS101,40,1
2015-69175,SALIH,ESEN,s.esen@ce1.marmara.edu.tr,CS101,48,1
2014-27322,FIKRET,ISIK,fikretisik@ce1.marmara.edu.tr,CS231,39,1
2014-79233,LALE,AY,laleay@ce1.marmara.edu.tr,CS101,29,1
2014-79233,LALE,AY,laleay@ce1.marmara.edu.tr,CS102,40,2
2014-63250,ASLI,ARSLAN,asliarslan@ce1.marmara.edu.tr,CS231,28,2
2015-04573,ISMAIL,SIMSEK,i.simsek@ce1.marmara.edu.tr,CS231,92,2
2015-04573,ISMAIL,SIMSEK,i.simsek@ce1.marmara.edu.tr,CS101,11,1
2014-84082,CANAN,PEK,cananpek@ce1.marmara.edu.tr,CS101,12,2
2014-84082,CANAN,PEK,cananpek@ce1.marmara.edu.tr,CS102,88,2
2014-84082,CANAN,PEK,cananpek@ce1.marmara.edu.tr,CS231,22,2
2014-06912,MEHMET,HIKMET,mehmethikmet@ce1.marmara.edu.tr,CS231,83,1
2014-06912,MEHMET,HIKMET,mehmethikmet@ce1.marmara.edu.tr,CS101,27,1
2015-95691,EFE,PEK,e.pek@ce1.marmara.edu.tr,CS101,29,2
2015-56773,CANAN,CAN,c.can@ce1.marmara.edu.tr,CS231,87,1
2015-56773,CANAN,CAN,c.can@ce1.marmara.edu.tr,CS101,45,1
2015-09494,TUNA,YILDIRIM,t.yildirim@ce1.marmara.edu.tr,CS101,28,2
2015-09494,TUNA,YILDIRIM,t.yildirim@ce1.marmara.edu.tr,CS102,53,2
2015-48626,FIKRET,SULEYMAN,f.suleyman@ce1.marmara.edu.tr,CS101,22,2
2015-48626,FIKRET,SULEYMAN,f.suleyman@ce1.marmara.edu.tr,CS102,39,2
2015-48626,FIKRET,SULEYMAN,f.suleyman@ce1.marmara.edu.tr,CS231,26,2
2014-61817,CANAN,ILHAN,cananilhan@ce1.marmara.edu.tr,CS231,95,1
2014-97231,MUSTAFA,OZKAN,mustafaozkan@ce1.marmara.edu.tr,CS101,89,1
2015-62562,BILGE,AKTAS,b.aktas@ce1.marmara.edu.tr,CS101,27,1
2015-06183,CAN,CELIK,c.celik@ce1.marmara.edu.tr,CS231,45,1
2014-57526,CAN,OZDEMIR,canozdemir@ce1.marmara.edu.tr,CS231,96,2
2015-47084,ISMAIL,YILMAZ,i.yilmaz@ce1.marmara.edu.tr,CS101,74,2
2014-60081,NUR,KAYA,nurkaya@ce1.marmara.edu.tr,CS101,72,2
2015-14656,CIGDEM,SULEYMAN,c.suleyman@ce1.marmara.edu.tr,CS231,76,1
2014-22684,GULSUM,FATIH,gulsumfatih@ce1.marmara.edu.tr,CS231,56,2
2014-22684,GULSUM,FATIH,gulsumfatih@ce1.marmara.edu.tr,CS101,57,2
2014-22684,GULSUM,FATIH,gulsumfatih@ce1.marmara.edu.tr,CS102,42,2
2014-95687,FIKRET,PEK,fikretpek@ce1.marmara.edu.tr,CS101,73,1
2014-95687,FIKRET,PEK,fikretpek@ce1.marmara.edu.tr,CS102,90,1
2015-22988,MUSTAFA,AY,m.ay@ce1.marmara.edu.tr,CS231,47,2
2015-22988,MUSTAFA,AY,m.ay@ce1.marmara.edu.tr,CS101,89,2
2014-77717,NISA,ILHAN,nisailhan@ce1.marmara.edu.tr,CS231,75,1
2014-32753,CAN,SULEYMAN,cansuleyman@ce1.marmara.edu.tr,CS231,35,2
2014-32753,CAN,SULEYMAN,cansuleyman@ce1.marmara.edu.tr,CS101,94,1
2014-88906,HILAL,AY,hilalay@ce1.marmara.edu.tr,CS231,97,2
2014-88906,HILAL,AY,hilalay@ce1.marmara.edu.tr,CS101,93,1
2015-55835,AHMET,ASLAN,a.aslan@ce1.marmara.edu.tr,CS231,26,1
2015-55274,ASLI,PEK,a.pek@ce1.marmara.edu.tr,CS231,31,2
2015-67724,FIKRET,DILER,f.diler@ce1.marmara.edu.tr,CS101,81,2
2015-92331,SALIH,ARSLAN,s.arslan@ce1.marmara.edu.tr,CS101,32,1
2015-92331,SALIH,ARSLAN,s.arslan@ce1.marmara.edu.tr,CS102,37,1
2015-47097,GULSUM,AKTAS,g.aktas@ce1.marmara.edu.tr,CS101,54,2
2015-53535,UGUR,GURCAN,u.gurcan@ce1.marmara.edu.tr,CS231,62,1
2015-53535,UGUR,GURCAN,u.gurcan@ce1.marmara.edu.tr,CS101,26,1
2014-19676,HILAL,OZDEMIR,hilalozdemir@ce1.marmara.edu.tr,CS101,100,1
2015-68748,FIKRET,SULEYMAN,f.suleyman@ce1.marmara.edu.tr,CS101,82,1
2014-04189,HILAL,ILHAN,hilalilhan@ce1.marmara.edu.tr,CS101,48,2
2014-04189,HILAL,ILHAN,hilalilhan@ce1.marmara.edu.tr,CS102,53,1
2015-99376,CAN,OZKAN,c.ozkan@ce1.marmara.edu.tr,CS231,68,2
2015-09986,RABIA,KOC,r.koc@ce1.marmara.edu.tr,CS101,13,1
2015-09986,RABIA,KOC,r.koc@ce1.marmara.edu.tr,CS102,63,2
2015-62858,NUR,KOC,n.koc@ce1.marmara.edu.tr,CS231,51,1
2014-51617,NISA,GURCAN,nisagurcan@ce1.marmara.edu.tr,CS101,55,1
2015-61218,NISA,CELIK,n.celik@ce1.marmara.edu.tr,CS231,32,1
2015-65117,SALIH,AKTAS,s.aktas@ce1.marmara.edu.tr,CS101,90,1
2014-50453,ALI,ILHAN,aliilhan@ce1.marmara.edu.tr,CS101,66,2
2014-50453,ALI,ILHAN,aliilhan@ce1.marmara.edu.tr,CS102,83,2
2014-50453,ALI,ILHAN,aliilhan@ce1.marmara.edu.tr,CS464,13,1
2014-07482,MUSTAFA,GUL,mustafagul@ce1.marmara.edu.tr,CS231,24,1
2014-25022,SIBEL,KURT,sibelkurt@ce1.marmara.edu.tr,CS101,97,1
2014-25022,SIBEL,KURT,sibelkurt@ce1.marmara.edu.tr,CS231,78,2
2015-71394,LALE,ESEN,l.esen@ce1.marmara.edu.tr,CS231,49,2
2014-80326,LALE,FATIH,lalefatih@ce1.marmara.edu.tr,CS101,99,2
2014-80326,LALE,FATIH,lalefatih@ce1.marmara.edu.tr,CS102,67,1
2014-80326,LALE,FATIH,lalefatih@ce1.marmara.edu.tr,CS231,33,1
2014-94171,ASLI,KURT,aslikurt@ce1.marmara.edu.tr,CS231,11,1
2014-94171,ASLI,KURT,aslikurt@ce1.marmara.edu.tr,CS101,90,2
2015-32506,CANAN,SIMSEK,c.simsek@ce1.marmara.edu.tr,CS101,89,1
2015-32506,CANAN,SIMSEK,c.simsek@ce1.marmara.edu.tr,CS231,73,1
2015-15637,ALI,AYDIN,a.aydin@ce1.marmara.edu.tr,CS101,75,1
2015-15637,ALI,AYDIN,a.aydin@ce1.marmara.edu.tr,CS102,90,1
2015-07389,NUR,DILER,n.diler@ce1.marmara.edu.tr,CS231,58,1
2015-07389,NUR,DILER,n.diler@ce1.marmara.edu.tr,CS101,84,2
2015-18053,SEMRA,GUL,s.gul@ce1.marmara.edu.tr,CS101,91,2
2015-68760,HARUN,OZER,h.ozer@ce1.marmara.edu.tr,CS231,70,2
2014-93730,ALI,AYDOGAN,aliaydogan@ce1.marmara.edu.tr,CS231,66,2
